seed,variant,throughput_mbps,latency_mean_ms,latency_p95_ms,latency_p99_ms,sla_violation_pct,jain_fairness,pdr_pct,action_churn_per_s,unsafe_actions_applied,queue_peak_depth
1005,A3_wo_TVS_EEVS,97.89,1.85,2.34,2.39,0.0,0.997,92.95,5.0,0,400
1006,A3_wo_TVS_EEVS,102.1,2.59,11.4,21.66,5.61,0.9967,97.71,5.0,0,307
1007,A3_wo_TVS_EEVS,98.47,1.87,2.34,2.39,0.19,0.9911,94.4,5.0,0,307
1008,A3_wo_TVS_EEVS,102.19,1.85,2.35,2.39,0.0,0.9974,97.39,5.0,0,308
1009,A3_wo_TVS_EEVS,101.93,1.85,2.35,2.39,0.0,0.996,96.97,5.0,0,351
1010,A3_wo_TVS_EEVS,101.49,6.67,51.32,91.49,9.48,0.9965,96.28,5.0,0,333
1011,A3_wo_TVS_EEVS,96.56,1.85,2.35,2.39,0.0,0.9932,92.25,5.0,0,317
1012,A3_wo_TVS_EEVS,101.38,1.85,2.34,2.39,0.0,0.9963,95.21,5.0,0,377
1013,A3_wo_TVS_EEVS,98.78,1.85,2.35,2.39,0.0,0.996,93.44,5.0,0,345
1014,A3_wo_TVS_EEVS,102.39,1.85,2.35,2.39,0.0,0.9972,96.85,5.0,0,400
1015,A3_wo_TVS_EEVS,100.51,1.85,2.34,2.39,0.0,0.9977,95.03,5.0,0,347
1016,A3_wo_TVS_EEVS,104.16,1.85,2.34,2.39,0.0,0.9959,98.15,5.0,0,378
1017,A3_wo_TVS_EEVS,95.59,1.85,2.34,2.39,0.0,0.9873,91.33,5.0,0,344
1018,A3_wo_TVS_EEVS,99.39,1.85,2.35,2.39,0.0,0.9967,94.42,5.0,0,358
1019,A3_wo_TVS_EEVS,102.56,1.85,2.34,2.39,0.0,0.9977,96.9,5.0,0,298
1020,A3_wo_TVS_EEVS,101.87,1.85,2.34,2.39,0.0,0.9962,97.22,5.0,0,393
1021,A3_wo_TVS_EEVS,102.98,1.98,2.36,11.45,1.19,0.9976,97.68,5.0,0,278
1022,A3_wo_TVS_EEVS,101.58,1.85,2.35,2.39,0.0,0.9967,96.89,5.0,0,313
1023,A3_wo_TVS_EEVS,102.59,1.85,2.35,2.39,0.0,0.9958,97.08,5.0,0,312
1024,A3_wo_TVS_EEVS,97.35,2.05,2.36,11.65,1.76,0.9932,92.71,5.0,0,326
1025,A3_wo_TVS_EEVS,97.74,1.85,2.34,2.39,0.0,0.9959,92.27,5.0,0,325
1026,A3_wo_TVS_EEVS,97.68,2.02,2.36,11.62,1.58,0.9954,92.5,5.0,0,369
